id,date,target_mood,call_mean,call_std,call_min,call_max,call_trend,sms_mean,sms_std,sms_min,sms_max,sms_trend,screen_mean,screen_std,screen_min,screen_max,screen_trend,appCat.builtin_mean,appCat.builtin_std,appCat.builtin_min,appCat.builtin_max,appCat.builtin_trend,appCat.communication_mean,appCat.communication_std,appCat.communication_min,appCat.communication_max,appCat.communication_trend,appCat.entertainment_mean,appCat.entertainment_std,appCat.entertainment_min,appCat.entertainment_max,appCat.entertainment_trend,appCat.finance_mean,appCat.finance_std,appCat.finance_min,appCat.finance_max,appCat.finance_trend,appCat.game_mean,appCat.game_std,appCat.game_min,appCat.game_max,appCat.game_trend,appCat.office_mean,appCat.office_std,appCat.office_min,appCat.office_max,appCat.office_trend,appCat.other_mean,appCat.other_std,appCat.other_min,appCat.other_max,appCat.other_trend,appCat.social_mean,appCat.social_std,appCat.social_min,appCat.social_max,appCat.social_trend,appCat.travel_mean,appCat.travel_std,appCat.travel_min,appCat.travel_max,appCat.travel_trend,appCat.unknown_mean,appCat.unknown_std,appCat.unknown_min,appCat.unknown_max,appCat.unknown_trend,appCat.utilities_mean,appCat.utilities_std,appCat.utilities_min,appCat.utilities_max,appCat.utilities_trend,appCat.weather_mean,appCat.weather_std,appCat.weather_min,appCat.weather_max,appCat.weather_trend,mood_mean,mood_std,mood_min,mood_max,mood_trend,circumplex.arousal_mean,circumplex.arousal_std,circumplex.arousal_min,circumplex.arousal_max,circumplex.arousal_trend,circumplex.valence_mean,circumplex.valence_std,circumplex.valence_min,circumplex.valence_max,circumplex.valence_trend,activity_mean,activity_std,activity_min,activity_max,activity_trend,mood_lag1,mood_lag2,mood_lag3,dow_sin,dow_cos
AS14.01,2014-02-26,6.25,2.0,2.516611478423583,0.0,7.0,-0.5714285714285714,1.0,1.1547005383792515,0.0,3.0,-0.46428571428571425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.985714285714286,0.0,6.4,7.8,0.06428571428571418,-0.21428571428571433,0.0,-0.8,0.3333333333333333,-0.025000000000000005,0.6928571428571428,0.0,0.25,1.0,0.014285714285714282,0.09037414471089736,0.0,0.049092970521542,0.1266893112073258,-0.0008727718099021272,7.2,7.2,7.1,0.9749279121818236,-0.22252093395631434
AS14.01,2014-02-27,6.333333333333333,1.1428571428571428,1.2149857925879117,0.0,3.0,0.03571428571428571,1.0,1.1547005383792515,0.0,3.0,-0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.25,0.0,6.25,6.25,0.06428571428571418,-0.25,0.0,-0.25,-0.25,-0.025000000000000005,0.75,0.0,0.75,0.75,0.014285714285714282,0.09037414471089736,0.0,0.049092970521542,0.1266893112073258,-0.0008727718099021272,6.25,7.2,7.1,0.43388373911755823,-0.900968867902419
AS14.01,2014-03-21,6.2,0.8571428571428571,1.0690449676496974,0.0,3.0,-0.10714285714285714,1.1428571428571428,1.0690449676496976,0.0,3.0,-0.21428571428571427,1.104369924586401,2.9218881758747735,0.0,7.730589472104807,0.8282774434398007,0.7887681306191497,2.0868843157115817,0.0,5.5213769143340485,0.5915760979643623,1.0974467262659284,2.903571114841623,0.0,7.682127083861499,0.8230850446994462,0.837603142998356,2.2160896137397224,0.0,5.863222000988492,0.628202357248767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3590358746853061,0.9499196361678708,0.0,2.513251122797143,0.2692769060139796,0.9564951932134746,2.5306484114715295,0.0,6.695466352494322,0.7173713949101059,0.0,0.0,0.0,0.0,0.0,0.5474850302379896,1.4485092365403978,0.0,3.8323952116659266,0.4106137726784921,0.4420572064786703,1.1695734336064925,0.0,3.094400445350692,0.33154290485900273,0.0,0.0,0.0,0.0,0.0,6.985714285714286,0.0,6.4,7.8,0.06428571428571418,-0.21428571428571433,0.0,-0.8,0.3333333333333333,-0.025000000000000005,0.6928571428571428,0.0,0.25,1.0,0.014285714285714282,0.081547619047619,0.0,0.081547619047619,0.081547619047619,-0.0008727718099021272,7.2,7.2,7.1,-0.433883739117558,-0.9009688679024191
AS14.01,2014-03-22,6.4,1.2857142857142858,2.138089935299395,0.0,6.0,0.75,1.0,1.1547005383792515,0.0,3.0,-0.3571428571428571,2.503942801100979,4.317702211535841,0.0,9.797010135602047,1.601864619679134,1.9390606310825735,3.3911988811121536,0.0,8.052047503243966,1.2571034406571424,2.346793321922823,4.019649303727494,0.0,8.745426169598261,1.4857333098756351,1.8256282468969676,3.1326354573680737,0.0,6.916175727290281,1.1598203994231366,0.5604063205799614,1.482695757403316,0.0,3.9228442440597298,0.420304740434971,0.0,0.0,0.0,0.0,0.0,0.7363545196515208,1.9482109357763482,0.0,5.154481637560646,0.5522658897386405,1.1424306181647352,2.1311990391345477,0.0,5.483763204356005,0.767063994952225,2.1584868448714407,3.719548002627895,0.0,8.413941561605762,1.3797413353502117,0.9743574363668512,2.57790746471313,0.0,6.820502054567958,0.7307680772751383,1.1807697446131544,2.0239877994297832,0.0,4.432993000626155,0.7487060509003683,1.3558457166419797,2.5040817841026835,0.0,6.396519571143165,0.906369985861817,0.0,0.0,0.0,0.0,0.0,6.2,0.0,6.2,6.2,0.06428571428571418,0.2,0.0,0.2,0.2,-0.025000000000000005,0.2,0.0,0.2,0.2,0.014285714285714282,0.10779886151850379,0.037124863131469885,0.081547619047619,0.1340501039893886,0.05250248494176961,6.2,7.2,7.1,-0.9749279121818236,-0.2225209339563146
AS14.01,2014-03-23,6.8,1.7142857142857142,2.1380899352993947,0.0,6.0,0.75,1.0,1.1547005383792515,0.0,3.0,-0.3571428571428571,3.7500991881635306,4.715101537359796,0.0,9.797010135602047,1.9104962097008027,2.8813986893491053,3.6677857298961394,0.0,8.052047503243966,1.4790918265863984,3.5625005543873534,4.4549026120796205,0.0,8.745426169598261,1.8108154037433275,2.4751619132042424,3.162242839274536,0.0,6.916175727290281,1.1905635874293508,1.0024764699481408,1.7286733007672177,0.0,3.9228442440597298,0.6117557723161151,0.0,0.0,0.0,0.0,0.0,1.4164296416245687,2.4216859433408198,0.0,5.154481637560646,0.8782336013055463,1.7990825113608273,2.4103802826511918,0.0,5.483763204356005,0.9739452603081101,3.028231139152179,3.840544605236024,0.0,8.413941561605762,1.4924278448429051,1.4951546415052488,2.7129655722530304,0.0,6.820502054567958,0.877776622037224,1.8672842820352062,2.346104365643507,0.0,4.805601761954364,0.9683995178136188,2.038121936164354,2.7148582129964343,0.0,6.396519571143165,1.0791157213431026,0.0,0.0,0.0,0.0,0.0,6.300000000000001,0.14142135623730964,6.2,6.4,0.20000000000000018,0.4,0.282842712474619,0.2,0.6,0.39999999999999997,0.35,0.21213203435596426,0.2,0.5,0.3,0.15082598075898856,0.07901345899066735,0.081547619047619,0.2368802192399581,0.07766630009616957,6.4,6.2,7.1,-0.7818314824680299,0.6234898018587334
AS14.01,2014-03-24,6.0,1.7142857142857142,2.138089935299395,0.0,6.0,0.3214285714285714,0.5714285714285714,0.7867957924694431,0.0,2.0,-0.17857142857142855,5.0102377379644105,4.724544708693977,0.0,9.797010135602047,1.9180753250105806,3.9042930224236665,3.728223924605417,0.0,8.052047503243966,1.5259129040550428,4.7858942578617185,4.48926949696075,0.0,8.745426169598261,1.8377355427522626,3.1262351104126074,3.0342808445685554,0.0,6.916175727290281,1.0600780070345637,1.5443774749085921,1.9432810552840487,0.0,3.9228442440597298,0.7675624085494187,0.0,0.0,0.0,0.0,0.0,2.0023057248397245,2.5161471308983354,0.0,5.154481637560646,0.9635332533107709,2.413606845099286,2.423577434388393,0.0,5.483763204356005,0.9850678827717475,4.000293426565253,3.8073153481891384,0.0,8.413941561605762,1.4644167756146662,2.2717464489630927,2.9786833900223586,0.0,6.820502054567958,1.0864318172542946,2.5924902478995895,2.454781370158291,0.0,5.076441761050679,1.0454829217031043,2.5290873014587403,2.592863357499465,0.0,6.396519571143165,0.9378092612728042,0.49233741908807555,1.3026023720384328,0.0,3.446361933616529,0.36925306431605665,6.466666666666668,0.30550504633038916,6.2,6.8,0.2999999999999998,0.3333333333333333,0.23094010767585027,0.2,0.6,0.0,0.5,0.30000000000000004,0.2,0.8,0.30000000000000004,0.14880476452050734,0.0646407435609362,0.081547619047619,0.2368802192399581,0.02864106055229033,6.8,6.4,6.2,0.0,1.0
AS14.01,2014-03-25,6.75,3.142857142857143,3.625307868699863,0.0,10.0,0.9642857142857144,0.42857142857142855,0.7867957924694431,0.0,2.0,-0.17857142857142855,6.3843839802649915,4.4130189360026995,0.0,9.797010135602047,1.6961255722449131,4.8708845970138475,3.4108771319609392,0.0,8.052047503243966,1.2747833293917616,6.090853453758412,4.1834648062098045,0.0,9.134714371276855,1.619981375209353,4.109875112875955,2.9672350818320288,0.0,6.916175727290281,1.0162492312789235,2.0527163400563286,1.9373633772912253,0.0,3.9228442440597298,0.7627221886830728,0.0,0.0,0.0,0.0,0.0,2.2007044735995067,2.3831916857849063,0.0,5.154481637560646,0.6117558836706767,3.0154620576972633,2.2404994495864985,0.0,5.483763204356005,0.8330575809454088,5.154375177067068,3.612030335032197,0.0,8.413941561605762,1.329904731849714,3.134913526603405,3.084239100756788,0.0,6.820502054567958,1.1658705132437557,3.3481105636221256,2.334915410361825,0.0,5.289342210057753,0.9640755965201091,3.2707254232451466,2.4892915629954144,0.0,6.396519571143165,0.8617660272479238,0.49233741908807555,1.3026023720384328,0.0,3.446361933616529,0.2461687095440378,6.3500000000000005,0.34156502553198653,6.0,6.8,-0.020000000000000108,0.45,0.30000000000000004,0.2,0.8,0.14,0.375,0.35000000000000003,0.0,0.8,-0.030000000000000006,0.13483602283952545,0.064104976537185,0.0789610561155979,0.2368802192399581,0.0003517885951632799,6.0,6.8,6.4,0.7818314824680298,0.6234898018587336
AS14.01,2014-03-26,6.6,3.0,3.7416573867739413,0.0,10.0,0.3214285714285714,0.2857142857142857,0.48795003647426655,0.0,1.0,0.10714285714285714,7.809342243328193,3.5299891651741517,0.0,9.974707841442411,1.1687482744760664,5.862451119659568,2.6920186514324858,0.0,8.052047503243966,0.8007370721225904,7.410530131009198,3.3071089995200573,0.0,9.237736740755498,1.0870255197078391,4.715173336314136,2.3589302721907437,0.0,6.916175727290281,0.44275412063856934,2.593490076365181,1.7917315540147647,0.0,3.9228442440597298,0.65512340590063,0.0,0.0,0.0,0.0,0.0,2.7944364839500304,2.2579694932181797,0.0,5.154481637560646,0.5068787730336927,3.757169313329334,1.91102986668216,0.0,5.483763204356005,0.6354725082451457,6.234421712415302,2.867521865613642,0.0,8.413941561605762,0.8513458390941222,3.9481312090538956,2.8623886110760948,0.0,6.820502054567958,0.9920553934307725,4.128792888497619,1.902417539976216,0.0,5.4647762741284565,0.7125596992711981,4.043749460267841,2.1166137468627046,0.0,6.396519571143165,0.6238526992036578,0.49233741908807555,1.3026023720384328,0.0,3.446361933616529,0.12308435477201889,6.4300000000000015,0.345687720348872,6.0,6.8,0.06999999999999994,0.45999999999999996,0.260768096208106,0.2,0.8,0.08000000000000002,0.4,0.3082207001484488,0.0,0.8,0.009999999999999998,0.128759037764689,0.059237968390763895,0.0789610561155979,0.2368802192399581,-0.005007822295480803,6.75,6.0,6.8,0.9749279121818236,-0.22252093395631434
AS14.01,2014-03-27,7.0,2.857142857142857,3.8483144114694956,0.0,10.0,-0.2857142857142857,0.2857142857142857,0.4879500364742666,0.0,1.0,0.0357142857142857,9.195991918703024,0.8081792456063127,7.730589472104807,9.974707841442411,0.25639997017514077,6.8715187748855,0.7559084626961281,5.5213769143340485,8.052047503243966,0.09192503362714723,8.711078795597203,0.5374593788997322,7.682127083861499,9.237736740755498,0.20980448539654312,5.688754558443639,1.2199036669169514,4.237087564067258,6.916175727290281,-0.005853296842836736,3.161564044309275,1.4253321472083147,0.0,3.976517775608658,0.43280636276740514,0.0,0.0,0.0,0.0,0.0,3.4826297052412056,1.981523074496266,0.0,5.154481637560646,0.3244145680145664,4.4128887766726725,0.955665638882467,2.513251122797143,5.483763204356005,0.18796977742031656,7.43903621668358,0.9256600145440175,6.088210059965166,8.43230152987795,0.19620128919150595,4.683883746123981,2.2813622040447603,0.0,6.820502054567958,0.5568369939698625,4.887451530706174,0.582519895323806,3.8323952116659266,5.4647762741284565,0.2493554588032089,4.549040689492636,1.224604298674372,3.094400445350692,6.396519571143165,-0.008116243944705637,0.49233741908807555,1.3026023720384328,0.0,3.446361933616529,0.0,6.458333333333335,0.3168858890305256,6.0,6.8,0.06428571428571418,0.3499999999999999,0.3563705936241092,-0.2,0.8,-0.04857142857142857,0.43333333333333335,0.28751811537130434,0.0,0.8,0.03428571428571428,0.12483750689402998,0.05506296014389049,0.0789610561155979,0.2368802192399581,-0.006071037087669759,6.6,6.75,6.0,0.43388373911755823,-0.900968867902419
AS14.01,2014-03-28,6.4,3.0,3.7859388972001824,0.0,10.0,-0.6428571428571428,0.42857142857142855,0.5345224838248487,0.0,1.0,0.07142857142857142,9.486865179885736,0.5008288777845251,8.72309470943786,9.974707841442411,0.10820430441262081,7.099184253793804,0.4658293446489475,6.596366407865723,8.052047503243966,-0.07486132232948739,8.877160424728833,0.2884459360419121,8.509950627251717,9.237736740755498,0.0771277793113415,5.774293947390828,1.2546737247784325,4.237087564067258,6.916175727290281,0.10191810550376802,3.699604074791374,0.29810940308452766,3.094491045577255,3.976517775608658,0.04594537455166074,0.0,0.0,0.0,0.0,0.0,4.227193648364495,1.3253807399209079,1.3887912413184778,5.211947601863022,0.012180099046731594,4.637640613859783,0.5202698741461493,4.086513983106912,5.483763204356005,-0.11837575815823345,7.459972801318211,0.9075185665543886,6.088210059965166,8.43230152987795,0.02601126162016544,5.237843942371285,1.1394961288903822,3.645580435968784,6.820502054567958,-0.1986637953756551,5.0725761861689085,0.35140841467611783,4.432993000626155,5.4647762741284565,0.12443487064019854,4.848857475731726,1.0541632281248683,3.436757557060706,6.396519571143165,-0.14691371530087438,0.49233741908807555,1.3026023720384328,0.0,3.446361933616529,-0.12308435477201889,6.5357142857142865,0.35439418462389877,6.0,7.0,0.09821428571428564,0.32857142857142857,0.33022358947782493,-0.2,0.8,-0.04642857142857143,0.48571428571428577,0.29680841985233186,0.0,0.8,0.06071428571428571,0.13597508145424117,0.052680594697492665,0.0789610561155979,0.2368802192399581,-0.008540328129114105,7.0,6.6,6.75,-0.433883739117558,-0.9009688679024191
